Date,Month,Day,Hhindex,Hday
1/1/2019 0:00,1,1,0,0
1/1/2019 0:30,1,1,1,0
1/1/2019 1:00,1,1,2,0
1/1/2019 1:30,1,1,3,0
1/1/2019 2:00,1,1,4,0
1/1/2019 2:30,1,1,5,0
1/1/2019 3:00,1,1,6,0
1/1/2019 3:30,1,1,7,0
1/1/2019 4:00,1,1,8,0
1/1/2019 4:30,1,1,9,0
1/1/2019 5:00,1,1,10,0
1/1/2019 5:30,1,1,11,0
1/1/2019 6:00,1,1,12,0
1/1/2019 6:30,1,1,13,0
1/1/2019 7:00,1,1,14,0
1/1/2019 7:30,1,1,15,0
1/1/2019 8:00,1,1,16,0
1/1/2019 8:30,1,1,17,0
1/1/2019 9:00,1,1,18,0
1/1/2019 9:30,1,1,19,0
1/1/2019 10:00,1,1,20,0
1/1/2019 10:30,1,1,21,0
1/1/2019 11:00,1,1,22,0
1/1/2019 11:30,1,1,23,0
1/1/2019 12:00,1,1,24,0
1/1/2019 12:30,1,1,25,0
1/1/2019 13:00,1,1,26,0
1/1/2019 13:30,1,1,27,0
1/1/2019 14:00,1,1,28,0
1/1/2019 14:30,1,1,29,0
1/1/2019 15:00,1,1,30,0
1/1/2019 15:30,1,1,31,0
1/1/2019 16:00,1,1,32,0
1/1/2019 16:30,1,1,33,0
1/1/2019 17:00,1,1,34,0
1/1/2019 17:30,1,1,35,0
1/1/2019 18:00,1,1,36,0
1/1/2019 18:30,1,1,37,0
1/1/2019 19:00,1,1,38,0
1/1/2019 19:30,1,1,39,0
1/1/2019 20:00,1,1,40,0
1/1/2019 20:30,1,1,41,0
1/1/2019 21:00,1,1,42,0
1/1/2019 21:30,1,1,43,0
1/1/2019 22:00,1,1,44,0
1/1/2019 22:30,1,1,45,0
1/1/2019 23:00,1,1,46,0
1/1/2019 23:30,1,1,47,0
1/2/2019 0:00,1,2,0,0
1/2/2019 0:30,1,2,1,0
1/2/2019 1:00,1,2,2,0
1/2/2019 1:30,1,2,3,0
1/2/2019 2:00,1,2,4,0
1/2/2019 2:30,1,2,5,0
1/2/2019 3:00,1,2,6,0
1/2/2019 3:30,1,2,7,0
1/2/2019 4:00,1,2,8,0
1/2/2019 4:30,1,2,9,0
1/2/2019 5:00,1,2,10,0
1/2/2019 5:30,1,2,11,0
1/2/2019 6:00,1,2,12,0
1/2/2019 6:30,1,2,13,0
1/2/2019 7:00,1,2,14,0
1/2/2019 7:30,1,2,15,0
1/2/2019 8:00,1,2,16,0
1/2/2019 8:30,1,2,17,0
1/2/2019 9:00,1,2,18,0
1/2/2019 9:30,1,2,19,0
1/2/2019 10:00,1,2,20,0
1/2/2019 10:30,1,2,21,0
1/2/2019 11:00,1,2,22,0
1/2/2019 11:30,1,2,23,0
1/2/2019 12:00,1,2,24,0
1/2/2019 12:30,1,2,25,0
1/2/2019 13:00,1,2,26,0
1/2/2019 13:30,1,2,27,0
1/2/2019 14:00,1,2,28,0
1/2/2019 14:30,1,2,29,0
1/2/2019 15:00,1,2,30,0
1/2/2019 15:30,1,2,31,0
1/2/2019 16:00,1,2,32,0
1/2/2019 16:30,1,2,33,0
1/2/2019 17:00,1,2,34,0
1/2/2019 17:30,1,2,35,0
1/2/2019 18:00,1,2,36,0
1/2/2019 18:30,1,2,37,0
1/2/2019 19:00,1,2,38,0
1/2/2019 19:30,1,2,39,0
1/2/2019 20:00,1,2,40,0
1/2/2019 20:30,1,2,41,0
1/2/2019 21:00,1,2,42,0
1/2/2019 21:30,1,2,43,0
1/2/2019 22:00,1,2,44,0
1/2/2019 22:30,1,2,45,0
1/2/2019 23:00,1,2,46,0
1/2/2019 23:30,1,2,47,0
1/3/2019 0:00,1,3,0,0
1/3/2019 0:30,1,3,1,0
1/3/2019 1:00,1,3,2,0
1/3/2019 1:30,1,3,3,0
1/3/2019 2:00,1,3,4,0
1/3/2019 2:30,1,3,5,0
1/3/2019 3:00,1,3,6,0
1/3/2019 3:30,1,3,7,0
1/3/2019 4:00,1,3,8,0
1/3/2019 4:30,1,3,9,0
1/3/2019 5:00,1,3,10,0
1/3/2019 5:30,1,3,11,0
1/3/2019 6:00,1,3,12,0
1/3/2019 6:30,1,3,13,0
1/3/2019 7:00,1,3,14,0
1/3/2019 7:30,1,3,15,0
1/3/2019 8:00,1,3,16,0
1/3/2019 8:30,1,3,17,0
1/3/2019 9:00,1,3,18,0
1/3/2019 9:30,1,3,19,0
1/3/2019 10:00,1,3,20,0
1/3/2019 10:30,1,3,21,0
1/3/2019 11:00,1,3,22,0
1/3/2019 11:30,1,3,23,0
1/3/2019 12:00,1,3,24,0
1/3/2019 12:30,1,3,25,0
1/3/2019 13:00,1,3,26,0
1/3/2019 13:30,1,3,27,0
1/3/2019 14:00,1,3,28,0
1/3/2019 14:30,1,3,29,0
1/3/2019 15:00,1,3,30,0
1/3/2019 15:30,1,3,31,0
1/3/2019 16:00,1,3,32,0
1/3/2019 16:30,1,3,33,0
1/3/2019 17:00,1,3,34,0
1/3/2019 17:30,1,3,35,0
1/3/2019 18:00,1,3,36,0
1/3/2019 18:30,1,3,37,0
1/3/2019 19:00,1,3,38,0
1/3/2019 19:30,1,3,39,0
1/3/2019 20:00,1,3,40,0
1/3/2019 20:30,1,3,41,0
1/3/2019 21:00,1,3,42,0
1/3/2019 21:30,1,3,43,0
1/3/2019 22:00,1,3,44,0
1/3/2019 22:30,1,3,45,0
1/3/2019 23:00,1,3,46,0
1/3/2019 23:30,1,3,47,0
1/4/2019 0:00,1,4,0,0
1/4/2019 0:30,1,4,1,0
1/4/2019 1:00,1,4,2,0
1/4/2019 1:30,1,4,3,0
1/4/2019 2:00,1,4,4,0
1/4/2019 2:30,1,4,5,0
1/4/2019 3:00,1,4,6,0
1/4/2019 3:30,1,4,7,0
1/4/2019 4:00,1,4,8,0
1/4/2019 4:30,1,4,9,0
1/4/2019 5:00,1,4,10,0
1/4/2019 5:30,1,4,11,0
1/4/2019 6:00,1,4,12,0
1/4/2019 6:30,1,4,13,0
1/4/2019 7:00,1,4,14,0
1/4/2019 7:30,1,4,15,0
1/4/2019 8:00,1,4,16,0
1/4/2019 8:30,1,4,17,0
1/4/2019 9:00,1,4,18,0
1/4/2019 9:30,1,4,19,0
1/4/2019 10:00,1,4,20,0
1/4/2019 10:30,1,4,21,0
1/4/2019 11:00,1,4,22,0
1/4/2019 11:30,1,4,23,0
1/4/2019 12:00,1,4,24,0
1/4/2019 12:30,1,4,25,0
1/4/2019 13:00,1,4,26,0
1/4/2019 13:30,1,4,27,0
1/4/2019 14:00,1,4,28,0
1/4/2019 14:30,1,4,29,0
1/4/2019 15:00,1,4,30,0
1/4/2019 15:30,1,4,31,0
1/4/2019 16:00,1,4,32,0
1/4/2019 16:30,1,4,33,0
1/4/2019 17:00,1,4,34,0
1/4/2019 17:30,1,4,35,0
1/4/2019 18:00,1,4,36,0
1/4/2019 18:30,1,4,37,0
1/4/2019 19:00,1,4,38,0
1/4/2019 19:30,1,4,39,0
1/4/2019 20:00,1,4,40,0
1/4/2019 20:30,1,4,41,0
1/4/2019 21:00,1,4,42,0
1/4/2019 21:30,1,4,43,0
1/4/2019 22:00,1,4,44,0
1/4/2019 22:30,1,4,45,0
1/4/2019 23:00,1,4,46,0
1/4/2019 23:30,1,4,47,0
1/5/2019 0:00,1,5,0,1
1/5/2019 0:30,1,5,1,1
1/5/2019 1:00,1,5,2,1
1/5/2019 1:30,1,5,3,1
1/5/2019 2:00,1,5,4,1
1/5/2019 2:30,1,5,5,1
1/5/2019 3:00,1,5,6,1
1/5/2019 3:30,1,5,7,1
1/5/2019 4:00,1,5,8,1
1/5/2019 4:30,1,5,9,1
1/5/2019 5:00,1,5,10,1
1/5/2019 5:30,1,5,11,1
1/5/2019 6:00,1,5,12,1
1/5/2019 6:30,1,5,13,1
1/5/2019 7:00,1,5,14,1
1/5/2019 7:30,1,5,15,1
1/5/2019 8:00,1,5,16,1
1/5/2019 8:30,1,5,17,1
1/5/2019 9:00,1,5,18,1
1/5/2019 9:30,1,5,19,1
1/5/2019 10:00,1,5,20,1
1/5/2019 10:30,1,5,21,1
1/5/2019 11:00,1,5,22,1
1/5/2019 11:30,1,5,23,1
1/5/2019 12:00,1,5,24,1
1/5/2019 12:30,1,5,25,1
1/5/2019 13:00,1,5,26,1
1/5/2019 13:30,1,5,27,1
1/5/2019 14:00,1,5,28,1
1/5/2019 14:30,1,5,29,1
1/5/2019 15:00,1,5,30,1
1/5/2019 15:30,1,5,31,1
1/5/2019 16:00,1,5,32,1
1/5/2019 16:30,1,5,33,1
1/5/2019 17:00,1,5,34,1
1/5/2019 17:30,1,5,35,1
1/5/2019 18:00,1,5,36,1
1/5/2019 18:30,1,5,37,1
1/5/2019 19:00,1,5,38,1
1/5/2019 19:30,1,5,39,1
1/5/2019 20:00,1,5,40,1
1/5/2019 20:30,1,5,41,1
